Sku|OfferTermCode|Platform|Tenancy|Operation|UsageType|Region|Service|InstanceType|OperatingSystem|AdjustedPricePerUnit|OnDemandHourlyCost|BreakevenPercentage|UpfrontFee|LeaseTerm|PurchaseOption|OfferingClass|TermType|Key|ReservedInstanceCost|OnDemandCostForTerm|CostSavings|PercentSavings|vCPU|Memory
YWQJS58KK9JWRBRM|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.069|0.302|0.407269648311107|473|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|1077.44|2645.52|1568.08|59.273|2|16.7
YWQJS58KK9JWRBRM|KGRZ3REEDN|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.069|0.302|0.303446329392079|595|3|MEDIUM_UTILIZATION|STANDARD|RESERVED|3::MEDIUM_UTILIZATION::STANDARD|2408.32|7936.56|5528.24|69.655|2|16.7
YWQJS58KK9JWRBRM|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.049|0.302|0.252845061336398|719|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|2006.72|7936.56|5929.84|74.715|2|16.7
YWQJS58KK9JWRBRM|VHSX6N8RTZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.108|0.302|0.387729696493191|239|3|LIGHT_UTILIZATION|STANDARD|RESERVED|3::LIGHT_UTILIZATION::STANDARD|3077.24|7936.56|4859.32|61.227|2|16.7
YWQJS58KK9JWRBRM|JRBFQ5DASS|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.093|0.302|0.45574405031903|391|1|MEDIUM_UTILIZATION|STANDARD|RESERVED|1::MEDIUM_UTILIZATION::STANDARD|1205.68|2645.52|1439.84|54.426|2|16.7
YWQJS58KK9JWRBRM|DK9W8XRWES|ElastiCache Memcached|Shared|CreateCacheCluster:0001|NodeUsage:cache.m2.xlarge|us-east-1|AmazonElastiCache|cache.m2.xlarge|ElastiCache Memcached|0.137|0.302|0.515255979920772|163|1|LIGHT_UTILIZATION|STANDARD|RESERVED|1::LIGHT_UTILIZATION::STANDARD|1363.12|2645.52|1282.4|48.474|2|16.7
5R2X6S6W3E9QUXCA|YTVHEVGPBZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.223|0.66|0.508938702089387|989|1|HEAVY_UTILIZATION|STANDARD|RESERVED|1::HEAVY_UTILIZATION::STANDARD|2942.48|5781.6|2839.12|49.106|4|33.8
5R2X6S6W3E9QUXCA|VHSX6N8RTZ|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.303|0.66|0.489417001060837|526|3|LIGHT_UTILIZATION|STANDARD|RESERVED|3::LIGHT_UTILIZATION::STANDARD|8488.84|17344.8|8855.96|51.058|4|33.8
5R2X6S6W3E9QUXCA|DK9W8XRWES|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.387|0.66|0.646035699460357|345|1|LIGHT_UTILIZATION|STANDARD|RESERVED|1::LIGHT_UTILIZATION::STANDARD|3735.12|5781.6|2046.48|35.396|4|33.8
5R2X6S6W3E9QUXCA|VG8YD49WWM|ElastiCache Memcached|Shared|CreateCacheCluster:0001|APN1-NodeUsage:cache.m2.2xlarge|ap-northeast-1|AmazonElastiCache|cache.m2.2xlarge|ElastiCache Memcached|0.169|0.66|0.340293344402934|1461|3|HEAVY_UTILIZATION|STANDARD|RESERVED|3::HEAVY_UTILIZATION::STANDARD|5902.32|17344.8|11442.48|65.971|4|33.8
